Year*,Jurisdiction,Type,Stream,Fate,Tonnes
2018,ACT,Undefined Plastic (Category),C&D,Landfill,"1,067"
2018,ACT,Undefined Plastic (Category),C&D,Recycling,80
2018,ACT,Undefined Plastic (Category),C&I,Landfill,"7,605"
2018,ACT,Undefined Plastic (Category),C&I,Recycling,269
2018,ACT,Undefined Plastic (Category),MSW,Landfill,"13,678"
2018,ACT,Undefined Plastic (Category),MSW,Recycling,"4,214"
2018,ACT,Undefined Plastic (Category),Total,Landfill,"22,350"
2018,ACT,Undefined Plastic (Category),Total,Recycling,"4,564"
2018,NSW,Undefined Plastic (Category),C&D,Landfill,"11,091"
2018,NSW,Undefined Plastic (Category),C&D,Recycling,"4,122"
2018,NSW,Undefined Plastic (Category),C&I,Energy from waste facility,"30,976"
2018,NSW,Undefined Plastic (Category),C&I,Landfill,"296,533"
2018,NSW,Undefined Plastic (Category),C&I,Recycling,"12,371"
2018,NSW,Undefined Plastic (Category),MSW,Energy from waste facility,"30,976"
2018,NSW,Undefined Plastic (Category),MSW,Landfill,"252,852"
2018,NSW,Undefined Plastic (Category),MSW,Recycling,"70,539"
2018,NSW,Undefined Plastic (Category),Total,Energy from waste facility,"61,951"
2018,NSW,Undefined Plastic (Category),Total,Landfill,"560,476"
2018,NSW,Undefined Plastic (Category),Total,Recycling,"87,032"
2018,NT,High density polyethylene (HDPE),MSW,Recycling,33
2018,NT,High density polyethylene (HDPE),Total,Recycling,33
2018,NT,Polyethylene terephthalate (PET),MSW,Recycling,579
2018,NT,Polyethylene terephthalate (PET),Total,Recycling,579
2018,NT,Polyvinyl chloride (PVC),C&I,Recycling,156
2018,NT,Polyvinyl chloride (PVC),MSW,Recycling,863
2018,NT,Polyvinyl chloride (PVC),Total,Recycling,"1,020"
2018,NT,Undefined Plastic (Category),C&D,Landfill,"2,450"
2018,NT,Undefined Plastic (Category),C&I,Landfill,"8,757"
2018,NT,Undefined Plastic (Category),C&I,Recycling,156
2018,NT,Undefined Plastic (Category),MSW,Landfill,"20,418"
2018,NT,Undefined Plastic (Category),MSW,Recycling,863
2018,NT,Undefined Plastic (Category),Total,Landfill,"31,625"
2018,NT,Undefined Plastic (Category),Total,Recycling,"1,020"
2018,Qld,High density polyethylene (HDPE),C&D,Recycling,"3,039"
2018,Qld,High density polyethylene (HDPE),C&I,Recycling,"6,077"
2018,Qld,High density polyethylene (HDPE),MSW,Recycling,"6,077"
2018,Qld,High density polyethylene (HDPE),Total,Recycling,"15,193"
2018,Qld,Low density polyethylene (LDPE),C&I,Recycling,"10,542"
2018,Qld,Low density polyethylene (LDPE),Total,Recycling,"10,542"
2018,Qld,Other plastics,C&D,Recycling,"1,955"
2018,Qld,Other plastics,C&I,Recycling,"5,655"
2018,Qld,Other plastics,MSW,Recycling,"1,955"
2018,Qld,Other plastics,Total,Recycling,"9,565"
2018,Qld,Polyethylene terephthalate (PET),MSW,Recycling,"7,513"
2018,Qld,Polyethylene terephthalate (PET),Total,Recycling,"7,513"
2018,Qld,Polypropylene (PP),C&I,Recycling,"4,285"
2018,Qld,Polypropylene (PP),Total,Recycling,"4,285"
2018,Qld,Polystyrene (PS),C&I,Recycling,401
2018,Qld,Polystyrene (PS),Total,Recycling,401
2018,Qld,Polyvinyl chloride (PVC),C&I,Recycling,32
2018,Qld,Polyvinyl chloride (PVC),Total,Recycling,32
2018,Qld,Undefined Plastic (Category),C&D,Landfill,"24,970"
2018,Qld,Undefined Plastic (Category),C&D,Recycling,"4,994"
2018,Qld,Undefined Plastic (Category),C&I,Landfill,"308,422"
2018,Qld,Undefined Plastic (Category),C&I,Recycling,"26,992"
2018,Qld,Undefined Plastic (Category),MSW,Landfill,"261,601"
2018,Qld,Undefined Plastic (Category),MSW,Recycling,"15,545"
2018,Qld,Undefined Plastic (Category),Total,Landfill,"594,994"
2018,Qld,Undefined Plastic (Category),Total,Recycling,"47,531"
2018,SA,High density polyethylene (HDPE),C&I,Recycling,"2,315"
2018,SA,High density polyethylene (HDPE),MSW,Recycling,"3,622"
2018,SA,High density polyethylene (HDPE),Total,Recycling,"5,937"
2018,SA,Low density polyethylene (LDPE),C&I,Recycling,"1,999"
2018,SA,Low density polyethylene (LDPE),Total,Recycling,"1,999"
2018,SA,Other plastics,C&D,Recycling,87
2018,SA,Other plastics,C&I,Recycling,47
2018,SA,Other plastics,MSW,Recycling,"3,990"
2018,SA,Other plastics,Total,Recycling,"4,124"
2018,SA,Polyethylene terephthalate (PET),C&I,Recycling,"1,967"
2018,SA,Polyethylene terephthalate (PET),MSW,Recycling,"2,950"
2018,SA,Polyethylene terephthalate (PET),Total,Recycling,"4,917"
2018,SA,Polypropylene (PP),C&I,Recycling,421
2018,SA,Polypropylene (PP),MSW,Recycling,227
2018,SA,Polypropylene (PP),Total,Recycling,648
2018,SA,Polystyrene (PS),C&D,Recycling,93
2018,SA,Polystyrene (PS),C&I,Recycling,449
2018,SA,Polystyrene (PS),MSW,Recycling,11
2018,SA,Polystyrene (PS),Total,Recycling,552
2018,SA,Polyvinyl chloride (PVC),C&I,Recycling,72
2018,SA,Polyvinyl chloride (PVC),MSW,Recycling,3
2018,SA,Polyvinyl chloride (PVC),Total,Recycling,75
2018,SA,Undefined Plastic (Category),C&D,Landfill,"3,714"
2018,SA,Undefined Plastic (Category),C&D,Recycling,180
2018,SA,Undefined Plastic (Category),C&I,Energy from waste facility,"5,938"
2018,SA,Undefined Plastic (Category),C&I,Landfill,"12,301"
2018,SA,Undefined Plastic (Category),C&I,Recycling,"7,270"
2018,SA,Undefined Plastic (Category),MSW,Landfill,"30,669"
2018,SA,Undefined Plastic (Category),MSW,Recycling,"10,802"
2018,SA,Undefined Plastic (Category),Total,Energy from waste facility,"5,938"
2018,SA,Undefined Plastic (Category),Total,Landfill,"46,684"
2018,SA,Undefined Plastic (Category),Total,Recycling,"18,252"
2018,Tas,Undefined Plastic (Category),C&D,Landfill,628
2018,Tas,Undefined Plastic (Category),C&D,Recycling,19
2018,Tas,Undefined Plastic (Category),C&I,Landfill,"42,499"
2018,Tas,Undefined Plastic (Category),C&I,Recycling,"1,043"
2018,Tas,Undefined Plastic (Category),MSW,Landfill,"21,946"
2018,Tas,Undefined Plastic (Category),MSW,Recycling,"3,131"
2018,Tas,Undefined Plastic (Category),Total,Landfill,"65,073"
2018,Tas,Undefined Plastic (Category),Total,Recycling,"4,192"
2018,Vic,Undefined Plastic (Category),C&D,Landfill,"18,305"
2018,Vic,Undefined Plastic (Category),C&D,Recycling,"4,179"
2018,Vic,Undefined Plastic (Category),C&I,Landfill,"288,260"
2018,Vic,Undefined Plastic (Category),C&I,Recycling,"59,610"
2018,Vic,Undefined Plastic (Category),MSW,Landfill,"222,931"
2018,Vic,Undefined Plastic (Category),MSW,Recycling,"78,727"
2018,Vic,Undefined Plastic (Category),Total,Landfill,"529,495"
2018,Vic,Undefined Plastic (Category),Total,Recycling,"142,517"
2018,WA,High density polyethylene (HDPE),C&D,Recycling,"1,510"
2018,WA,High density polyethylene (HDPE),C&I,Recycling,"2,232"
2018,WA,High density polyethylene (HDPE),MSW,Recycling,"4,318"
2018,WA,High density polyethylene (HDPE),Total,Recycling,"8,061"
2018,WA,Low density polyethylene (LDPE),C&I,Recycling,"1,634"
2018,WA,Low density polyethylene (LDPE),MSW,Recycling,103
2018,WA,Low density polyethylene (LDPE),Total,Recycling,"1,737"
2018,WA,Other plastics,C&D,Recycling,72
2018,WA,Other plastics,C&I,Recycling,"2,785"
2018,WA,Other plastics,MSW,Recycling,375
2018,WA,Other plastics,Total,Recycling,"3,232"
2018,WA,Polyethylene terephthalate (PET),C&I,Recycling,412
2018,WA,Polyethylene terephthalate (PET),MSW,Recycling,"3,158"
2018,WA,Polyethylene terephthalate (PET),Total,Recycling,"3,570"
2018,WA,Polypropylene (PP),C&I,Recycling,605
2018,WA,Polypropylene (PP),MSW,Recycling,"1,764"
2018,WA,Polypropylene (PP),Total,Recycling,"2,369"
2018,WA,Polystyrene (PS),C&I,Recycling,519
2018,WA,Polystyrene (PS),MSW,Recycling,239
