Year,Jurisdiction,Type,Stream,Fate,Tonnes
2018,ACT,Undefined Plastic (Category),C&D,Landfill,1067
2018,ACT,Undefined Plastic (Category),C&D,Recycling,80
2018,ACT,Undefined Plastic (Category),C&I,Landfill,7605
2018,ACT,Undefined Plastic (Category),C&I,Recycling,269
2018,ACT,Undefined Plastic (Category),MSW,Landfill,13678
2018,ACT,Undefined Plastic (Category),MSW,Recycling,4214
2018,ACT,Undefined Plastic (Category),Total,Landfill,22350
2018,ACT,Undefined Plastic (Category),Total,Recycling,4564
2018,NSW,Undefined Plastic (Category),C&D,Landfill,11091
2018,NSW,Undefined Plastic (Category),C&D,Recycling,4122
2018,NSW,Undefined Plastic (Category),C&I,Energy from waste facility,30976
2018,NSW,Undefined Plastic (Category),C&I,Landfill,296533
2018,NSW,Undefined Plastic (Category),C&I,Recycling,12371
2018,NSW,Undefined Plastic (Category),MSW,Energy from waste facility,30976
2018,NSW,Undefined Plastic (Category),MSW,Landfill,252852
2018,NSW,Undefined Plastic (Category),MSW,Recycling,70539
2018,NSW,Undefined Plastic (Category),Total,Energy from waste facility,61951
2018,NSW,Undefined Plastic (Category),Total,Landfill,560476
2018,NSW,Undefined Plastic (Category),Total,Recycling,87032
2018,NT,High density polyethylene (HDPE),MSW,Recycling,33
2018,NT,High density polyethylene (HDPE),Total,Recycling,33
2018,NT,Polyethylene terephthalate (PET),MSW,Recycling,579
2018,NT,Polyethylene terephthalate (PET),Total,Recycling,579
2018,NT,Polyvinyl chloride (PVC),C&I,Recycling,156
2018,NT,Polyvinyl chloride (PVC),MSW,Recycling,863
2018,NT,Polyvinyl chloride (PVC),Total,Recycling,1020
2018,NT,Undefined Plastic (Category),C&D,Landfill,2450
2018,NT,Undefined Plastic (Category),C&I,Landfill,8757
2018,NT,Undefined Plastic (Category),C&I,Recycling,156
2018,NT,Undefined Plastic (Category),MSW,Landfill,20418
2018,NT,Undefined Plastic (Category),MSW,Recycling,863
2018,NT,Undefined Plastic (Category),Total,Landfill,31625
2018,NT,Undefined Plastic (Category),Total,Recycling,1020
2018,Qld,High density polyethylene (HDPE),C&D,Recycling,3039
2018,Qld,High density polyethylene (HDPE),C&I,Recycling,6077
2018,Qld,High density polyethylene (HDPE),MSW,Recycling,6077
2018,Qld,High density polyethylene (HDPE),Total,Recycling,15193
2018,Qld,Low density polyethylene (LDPE),C&I,Recycling,10542
2018,Qld,Low density polyethylene (LDPE),Total,Recycling,10542
2018,Qld,Other plastics,C&D,Recycling,1955
2018,Qld,Other plastics,C&I,Recycling,5655
2018,Qld,Other plastics,MSW,Recycling,1955
2018,Qld,Other plastics,Total,Recycling,9565
2018,Qld,Polyethylene terephthalate (PET),MSW,Recycling,7513
2018,Qld,Polyethylene terephthalate (PET),Total,Recycling,7513
2018,Qld,Polypropylene (PP),C&I,Recycling,4285
2018,Qld,Polypropylene (PP),Total,Recycling,4285
2018,Qld,Polystyrene (PS),C&I,Recycling,401
2018,Qld,Polystyrene (PS),Total,Recycling,401
2018,Qld,Polyvinyl chloride (PVC),C&I,Recycling,32
2018,Qld,Polyvinyl chloride (PVC),Total,Recycling,32
2018,Qld,Undefined Plastic (Category),C&D,Landfill,24970
2018,Qld,Undefined Plastic (Category),C&D,Recycling,4994
2018,Qld,Undefined Plastic (Category),C&I,Landfill,308422
2018,Qld,Undefined Plastic (Category),C&I,Recycling,26992
2018,Qld,Undefined Plastic (Category),MSW,Landfill,261601
2018,Qld,Undefined Plastic (Category),MSW,Recycling,15545
2018,Qld,Undefined Plastic (Category),Total,Landfill,594994
2018,Qld,Undefined Plastic (Category),Total,Recycling,47531
2018,SA,High density polyethylene (HDPE),C&I,Recycling,2315
2018,SA,High density polyethylene (HDPE),MSW,Recycling,3622
2018,SA,High density polyethylene (HDPE),Total,Recycling,5937
2018,SA,Low density polyethylene (LDPE),C&I,Recycling,1999
2018,SA,Low density polyethylene (LDPE),Total,Recycling,1999
2018,SA,Other plastics,C&D,Recycling,87
2018,SA,Other plastics,C&I,Recycling,47
2018,SA,Other plastics,MSW,Recycling,3990
2018,SA,Other plastics,Total,Recycling,4124
2018,SA,Polyethylene terephthalate (PET),C&I,Recycling,1967
2018,SA,Polyethylene terephthalate (PET),MSW,Recycling,2950
2018,SA,Polyethylene terephthalate (PET),Total,Recycling,4917
2018,SA,Polypropylene (PP),C&I,Recycling,421
2018,SA,Polypropylene (PP),MSW,Recycling,227
2018,SA,Polypropylene (PP),Total,Recycling,648
2018,SA,Polystyrene (PS),C&D,Recycling,93
2018,SA,Polystyrene (PS),C&I,Recycling,449
2018,SA,Polystyrene (PS),MSW,Recycling,11
2018,SA,Polystyrene (PS),Total,Recycling,552
2018,SA,Polyvinyl chloride (PVC),C&I,Recycling,72
2018,SA,Polyvinyl chloride (PVC),MSW,Recycling,3
2018,SA,Polyvinyl chloride (PVC),Total,Recycling,75
2018,SA,Undefined Plastic (Category),C&D,Landfill,3714
2018,SA,Undefined Plastic (Category),C&D,Recycling,180
2018,SA,Undefined Plastic (Category),C&I,Energy from waste facility,5938
2018,SA,Undefined Plastic (Category),C&I,Landfill,12301
2018,SA,Undefined Plastic (Category),C&I,Recycling,7270
2018,SA,Undefined Plastic (Category),MSW,Landfill,30669
2018,SA,Undefined Plastic (Category),MSW,Recycling,10802
2018,SA,Undefined Plastic (Category),Total,Energy from waste facility,5938
2018,SA,Undefined Plastic (Category),Total,Landfill,46684
2018,SA,Undefined Plastic (Category),Total,Recycling,18252
2018,Tas,Undefined Plastic (Category),C&D,Landfill,628
2018,Tas,Undefined Plastic (Category),C&D,Recycling,19
2018,Tas,Undefined Plastic (Category),C&I,Landfill,42499
2018,Tas,Undefined Plastic (Category),C&I,Recycling,1043
2018,Tas,Undefined Plastic (Category),MSW,Landfill,21946
2018,Tas,Undefined Plastic (Category),MSW,Recycling,3131
2018,Tas,Undefined Plastic (Category),Total,Landfill,65073
2018,Tas,Undefined Plastic (Category),Total,Recycling,4192
2018,Vic,Undefined Plastic (Category),C&D,Landfill,18305
2018,Vic,Undefined Plastic (Category),C&D,Recycling,4179
2018,Vic,Undefined Plastic (Category),C&I,Landfill,288260
2018,Vic,Undefined Plastic (Category),C&I,Recycling,59610
2018,Vic,Undefined Plastic (Category),MSW,Landfill,222931
2018,Vic,Undefined Plastic (Category),MSW,Recycling,78727
2018,Vic,Undefined Plastic (Category),Total,Landfill,529495
2018,Vic,Undefined Plastic (Category),Total,Recycling,142517
2018,WA,High density polyethylene (HDPE),C&D,Recycling,1510
2018,WA,High density polyethylene (HDPE),C&I,Recycling,2232
2018,WA,High density polyethylene (HDPE),MSW,Recycling,4318
2018,WA,High density polyethylene (HDPE),Total,Recycling,8061
2018,WA,Low density polyethylene (LDPE),C&I,Recycling,1634
2018,WA,Low density polyethylene (LDPE),MSW,Recycling,103
2018,WA,Low density polyethylene (LDPE),Total,Recycling,1737
2018,WA,Other plastics,C&D,Recycling,72
2018,WA,Other plastics,C&I,Recycling,2785
2018,WA,Other plastics,MSW,Recycling,375
2018,WA,Other plastics,Total,Recycling,3232
2018,WA,Polyethylene terephthalate (PET),C&I,Recycling,412
2018,WA,Polyethylene terephthalate (PET),MSW,Recycling,3158
2018,WA,Polyethylene terephthalate (PET),Total,Recycling,3570
2018,WA,Polypropylene (PP),C&I,Recycling,605
2018,WA,Polypropylene (PP),MSW,Recycling,1764
2018,WA,Polypropylene (PP),Total,Recycling,2369
2018,WA,Polystyrene (PS),C&I,Recycling,519
2018,WA,Polystyrene (PS),MSW,Recycling,239
2018,WA,Polystyrene (PS),Total,Recycling,758
2018,WA,Polyvinyl chloride (PVC),C&D,Recycling,17
2018,WA,Polyvinyl chloride (PVC),MSW,Recycling,212
2018,WA,Polyvinyl chloride (PVC),Total,Recycling,229
2018,WA,Undefined Plastic (Category),C&D,Landfill,6002
2018,WA,Undefined Plastic (Category),C&D,Recycling,1600
2018,WA,Undefined Plastic (Category),C&I,Landfill,141756
2018,WA,Undefined Plastic (Category),C&I,Recycling,8188
2018,WA,Undefined Plastic (Category),MSW,Landfill,146067
